Time,bitfinex,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,mtgox,okcoin,others
2014-09-28 00:00:00 UTC,19564.43028875,16129.89624277,33420.7785999999,,34606.0823000001,1310.7936581,15317.6546,,65388.7650000008,16251.250459659996
2014-09-29 00:00:00 UTC,21469.53934347,20044.4763578,46960.9346999999,,48927.3367000003,1716.67232091,19058.366,,87918.3750000005,28750.739101280007
2014-09-30 00:00:00 UTC,16885.43103889,14295.97006786,46895.0404999996,,44323.4445000001,1453.11050406,16584.0349,,80880.6050000005,38909.72923219999
2014-10-01 00:00:00 UTC,10108.81578193,13031.92193264,36613.3267999998,,33512.3224,1253.48853116,16249.6825,,68848.8210000007,20923.436406469995
2014-10-02 00:00:00 UTC,11897.92548679,10422.66763981,23460.9026,,31304.5992000002,1064.60704744,10518.9081,,48205.212,19987.744080610002
2014-10-03 00:00:00 UTC,21055.64046414,20409.20105396,25841.5020999998,,36026.9023999999,1458.77816771,14109.908,,66037.6640000004,31896.34903301
2014-10-04 00:00:00 UTC,38757.3106371702,28981.80406599,50511.603,,86303.1951000014,2263.19570928,16262.0658,,141208.015000002,29289.36249547
2014-10-05 00:00:00 UTC,84131.2052416605,61721.8827877302,71186.8966000006,,145871.824900003,6436.49979558,24901.9388,,200341.425000007,42819.377204849894
2014-10-06 00:00:00 UTC,56244.0139219902,69542.1509885301,75201.2334000005,,161717.918600002,4474.27399225,25695.5008,,225552.999000008,42932.81269856999
2014-10-07 00:00:00 UTC,28419.29063354,22961.86361301,65898.4859000003,,106304.348000002,1760.39598411,14173.0129,,164568.562000003,43339.26392874001
2014-10-08 00:00:00 UTC,33148.54384167,28612.5179651,63199.3277000002,,116897.724500003,2565.46521173,21788.4688,,168270.884000006,37577.227386570004
2014-10-09 00:00:00 UTC,58819.7826206503,47819.53954767,88050.2032000009,,154849.482100003,4548.27880757,25772.5595,,222192.745000009,45927.77677123
2014-10-10 00:00:00 UTC,31262.09043458,20543.27563738,52825.1852,,111936.342800002,1943.76842487,20118.2544,,186274.692000007,29463.71787192001
2014-10-11 00:00:00 UTC,16673.90098377,9973.31870579999,54470.6951,,83273.1440000017,1011.52465233,16072.2556,,150005.308000005,17266.216510519997
2014-10-12 00:00:00 UTC,20912.2328697,14250.47171152,38639.7044,,63926.0462000011,1171.43037831,14905.0575,,100299.581000003,20469.732230809972
2014-10-13 00:00:00 UTC,42724.2213511101,26083.74635605,53078.1428000004,,113335.129400002,2232.01945429,34268.494,,164779.781000006,37539.32787013
2014-10-14 00:00:00 UTC,47243.1005650801,24821.65240713,87915.0831000005,,127811.089900003,2214.25561964,30137.9328,,207596.423000009,39152.345857439985
2014-10-15 00:00:00 UTC,29541.51886987,19147.69547041,64195.2305000003,,78215.1023000014,1856.43913251,25205.9946,,128224.247000005,42968.68850921
2014-10-16 00:00:00 UTC,30085.0727240201,22777.0204209401,62182.4551000001,,87168.485700001,2366.83820288,24787.829,,127895.757000003,40696.16584772999
2014-10-17 00:00:00 UTC,13829.04144323,10507.82628734,67078.2569999976,,64264.0221000003,985.08933925,22646.94639,,109444.765000003,33035.947164690006
2014-10-18 00:00:00 UTC,12031.41380826,7074.8254279,84357.9872000017,,90404.5268000008,860.27879111,18417.04611,,118520.198000003,17015.35729552
2014-10-19 00:00:00 UTC,5349.68544154,3242.37367978,70921.0115000013,,47267.2892000001,633.32381745,15677.3754,,89553.4030000015,7828.98382865
2014-10-20 00:00:00 UTC,19178.1653994701,12081.79942479,43889.4433,,62849.5361000002,974.24244851,19777.81664,,80236.2050000013,28379.4279665
2014-10-21 00:00:00 UTC,16265.56040139,7953.32305008,53538.5199000002,,53136.8330000006,1184.84357839,16424.3593,,82865.6220000012,23328.751214800002
2014-10-22 00:00:00 UTC,10618.5333266,8315.65019597,31709.895,,38140.313,878.50143816,16792.0461,,59713.8830000004,22485.099056855
