Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others
2009-03-29 00:00:00 UTC,,,,,,,,,,,,5752409.7256206,,,
2009-03-30 00:00:00 UTC,,,,,,,,,,,,5985391.48660419,,,
2009-03-31 00:00:00 UTC,,,,,,,,,,,,5478020.52966003,,,
2009-04-01 00:00:00 UTC,,,,,,,,,,,,5601041.80816088,,,
2009-04-02 00:00:00 UTC,,,,,,,,,,,,5717078.02671482,,,
2009-04-03 00:00:00 UTC,,,,,,,,,,,,5773073.07457706,,,
2009-04-04 00:00:00 UTC,,,,,,,,,,,,5641353.74978787,,,
2009-04-05 00:00:00 UTC,,,,,,,,,,,,6449719.281498,,,
2009-04-06 00:00:00 UTC,,,,,,,,,,,,5435152.61411289,,,
2009-04-07 00:00:00 UTC,,,,,,,,,,,,4961551.77727719,,,
2009-04-08 00:00:00 UTC,,,,,,,,,,,,5205540.22231713,,,
2009-04-09 00:00:00 UTC,,,,,,,,,,,,4948003.843694,,,
2009-04-10 00:00:00 UTC,,,,,,,,,,,,5331438.41625672,,,
2009-04-11 00:00:00 UTC,,,,,,,,,,,,6044071.10714998,,,
2009-04-12 00:00:00 UTC,,,,,,,,,,,,5830853.68885616,,,
2009-04-13 00:00:00 UTC,,,,,,,,,,,,5750090.09569489,,,
2009-04-14 00:00:00 UTC,,,,,,,,,,,,6120929.38321323,,,
2009-04-15 00:00:00 UTC,,,,,,,,,,,,5613297.37625056,,,
2009-04-16 00:00:00 UTC,,,,,,,,,,,,6091239.01632691,,,
2009-04-17 00:00:00 UTC,,,,,,,,,,,,5599761.79122964,,,
2009-04-18 00:00:00 UTC,,,,,,,,,,,,6259654.13919702,,,
2009-04-19 00:00:00 UTC,,,,,,,,,,,,5881485.71028769,,,
2009-04-20 00:00:00 UTC,,,,,,,,,,,,5919701.50481243,,,
2009-04-21 00:00:00 UTC,,,,,,,,,,,,6124002.79847909,,,
2009-04-22 00:00:00 UTC,,,,,,,,,,,,6017519.57222422,,,
2009-04-23 00:00:00 UTC,,,,,,,,,,,,3725553.67266923,,,
2009-04-24 00:00:00 UTC,,,,,,,,,,,,5709148.10365952,,,
2009-04-25 00:00:00 UTC,,,,,,,,,,,,5872200.55300906,,,
2009-04-26 00:00:00 UTC,,,,,,,,,,,,5557901.06472559,,,
2009-04-27 00:00:00 UTC,,,,,,,,,,,,5169987.71712308,,,
2009-04-28 00:00:00 UTC,,,,,,,,,,,,5859983.59978077,,,
2009-04-29 00:00:00 UTC,,,,,,,,,,,,6386716.8601501,,,
2009-04-30 00:00:00 UTC,,,,,,,,,,,,6459487.22519316,,,
2009-05-01 00:00:00 UTC,,,,,,,,,,,,5991503.64103392,,,
2009-05-02 00:00:00 UTC,,,,,,,,,,,,6336095.0625922,,,
2009-05-03 00:00:00 UTC,,,,,,,,,,,,5251479.74318572,,,
2009-05-04 00:00:00 UTC,,,,,,,,,,,,6315620.45662688,,,
2009-05-05 00:00:00 UTC,,,,,,,,,,,,6778276.9076817,,,
2009-05-06 00:00:00 UTC,,,,,,,,,,,,6651683.33880164,,,
2009-05-07 00:00:00 UTC,,,,,,,,,,,,6064301.95141485,,,
2009-05-08 00:00:00 UTC,,,,,,,,,,,,5641768.05765005,,,
2009-05-09 00:00:00 UTC,,,,,,,,,,,,3792551.47100178,,,
2009-05-10 00:00:00 UTC,,,,,,,,,,,,4112655.68853641,,,
2009-05-11 00:00:00 UTC,,,,,,,,,,,,5992002.18011022,,,
2009-05-12 00:00:00 UTC,,,,,,,,,,,,6385984.10760239,,,
2009-05-13 00:00:00 UTC,,,,,,,,,,,,5550474.66418293,,,
2009-05-14 00:00:00 UTC,,,,,,,,,,,,6856399.92355752,,,
2009-05-15 00:00:00 UTC,,,,,,,,,,,,6812160.94343759,,,
2009-05-16 00:00:00 UTC,,,,,,,,,,,,5916343.80034264,,,
2009-05-17 00:00:00 UTC,,,,,,,,,,,,6277240.88373324,,,
2009-05-18 00:00:00 UTC,,,,,,,,,,,,5869344.29202761,,,
2009-05-19 00:00:00 UTC,,,,,,,,,,,,4267624.72364271,,,
2009-05-20 00:00:00 UTC,,,,,,,,,,,,5981918.0296893,,,
2009-05-21 00:00:00 UTC,,,,,,,,,,,,4119294.45795759,,,
2009-05-22 00:00:00 UTC,,,,,,,,,,,,5225959.05004688,,,
2009-05-23 00:00:00 UTC,,,,,,,,,,,,1111794.73601954,,,
2009-05-24 00:00:00 UTC,,,,,,,,,,,,4959317.46339661,,,
2009-05-25 00:00:00 UTC,,,,,,,,,,,,5482316.29365405,,,
2009-05-26 00:00:00 UTC,,,,,,,,,,,,6141493.21070272,,,
2009-05-27 00:00:00 UTC,,,,,,,,,,,,5994547.42759292,,,
2009-05-28 00:00:00 UTC,,,,,,,,,,,,4686244.00606423,,,
2009-05-29 00:00:00 UTC,,,,,,,,,,,,5332675.82697106,,,
2009-05-30 00:00:00 UTC,,,,,,,,,,,,5352320.70682657,,,
2009-05-31 00:00:00 UTC,,,,,,,,,,,,5843575.73684434,,,
2009-06-01 00:00:00 UTC,,,,,,,,,,,,3502149.66770411,,,
2009-06-02 00:00:00 UTC,,,,,,,,,,,,4688137.29686993,,,
2009-06-03 00:00:00 UTC,,,,,,,,,,,,4723911.79365792,,,
2009-06-04 00:00:00 UTC,,,,,,,,,,,,2614799.89240746,,,
2009-06-05 00:00:00 UTC,,,,,,,,,,,,5276588.67603096,,,
2009-06-06 00:00:00 UTC,,,,,,,,,,,,826721.783851786,,,
2009-06-07 00:00:00 UTC,,,,,,,,,,,,772085.576495702,,,
2009-06-08 00:00:00 UTC,,,,,,,,,,,,4068002.52118972,,,
2009-06-09 00:00:00 UTC,,,,,,,,,,,,4517151.58725903,,,
2009-06-10 00:00:00 UTC,,,,,,,,,,,,4068613.45939327,,,
2009-06-11 00:00:00 UTC,,,,,,,,,,,,4473086.60999813,,,
2009-06-12 00:00:00 UTC,,,,,,,,,,,,4247845.84327346,,,
2009-06-13 00:00:00 UTC,,,,,,,,,,,,3926297.98284187,,,
2009-06-14 00:00:00 UTC,,,,,,,,,,,,3524075.73005128,,,
2009-06-15 00:00:00 UTC,,,,,,,,,,,,4168329.47666143,,,
2009-06-16 00:00:00 UTC,,,,,,,,,,,,3595131.84253899,,,
2009-06-17 00:00:00 UTC,,,,,,,,,,,,3878318.10879331,,,
2009-06-18 00:00:00 UTC,,,,,,,,,,,,3965073.20531758,,,
2009-06-19 00:00:00 UTC,,,,,,,,,,,,4315204.11529933,,,
2009-06-20 00:00:00 UTC,,,,,,,,,,,,3981311.41586547,,,
2009-06-21 00:00:00 UTC,,,,,,,,,,,,3995043.13198057,,,
2009-06-22 00:00:00 UTC,,,,,,,,,,,,3761783.92218688,,,
2009-06-23 00:00:00 UTC,,,,,,,,,,,,3794405.34833655,,,
2009-06-24 00:00:00 UTC,,,,,,,,,,,,4646486.20500381,,,
2009-06-25 00:00:00 UTC,,,,,,,,,,,,3390304.44167392,,,
2009-06-26 00:00:00 UTC,,,,,,,,,,,,4450128.44097534,,,
2009-06-27 00:00:00 UTC,,,,,,,,,,,,4188217.60676101,,,
2009-06-28 00:00:00 UTC,,,,,,,,,,,,2280443.41400803,,,
2009-06-29 00:00:00 UTC,,,,,,,,,,,,4124758.87264102,,,
2009-06-30 00:00:00 UTC,,,,,,,,,,,,4252096.16175734,,,
2009-07-01 00:00:00 UTC,,,,,,,,,,,,3772523.73829646,,,
2009-07-02 00:00:00 UTC,,,,,,,,,,,,4047071.94913946,,,
2009-07-03 00:00:00 UTC,,,,,,,,,,,,4113568.93888993,,,
2009-07-04 00:00:00 UTC,,,,,,,,,,,,4384731.11730024,,,
2009-07-05 00:00:00 UTC,,,,,,,,,,,,3927111.30074074,,,
2009-07-06 00:00:00 UTC,,,,,,,,,,,,4235071.28778701,,,
2009-07-07 00:00:00 UTC,,,,,,,,,,,,3350057.01232167,,,
2009-07-08 00:00:00 UTC,,,,,,,,,,,,3677410.76172955,,,
2009-07-09 00:00:00 UTC,,,,,,,,,,,,4283610.74657884,,,
2009-07-10 00:00:00 UTC,,,,,,,,,,,,4087465.35125482,,,
2009-07-11 00:00:00 UTC,,,,,,,,,,,,4052178.34526502,,,
2009-07-12 00:00:00 UTC,,,,,,,,,,,,3902626.61276124,,,
2009-07-13 00:00:00 UTC,,,,,,,,,,,,3833563.52231428,,,
2009-07-14 00:00:00 UTC,,,,,,,,,,,,3403028.57465694,,,
2009-07-15 00:00:00 UTC,,,,,,,,,,,,2248490.85379899,,,
2009-07-16 00:00:00 UTC,,,,,,,,,,,,3524533.95765141,,,
2009-07-17 00:00:00 UTC,,,,,,,,,,,,3347930.39077867,,,
