Time,size
2009-05-02 00:00:00 UTC,231.37301587301587
2009-05-03 00:00:00 UTC,223.72641509433961
2009-05-04 00:00:00 UTC,242.9296875
2009-05-05 00:00:00 UTC,224.66666666666666
2009-05-06 00:00:00 UTC,215.9777777777778
2009-05-07 00:00:00 UTC,216.0
2009-05-08 00:00:00 UTC,215.94392523364485
2009-05-09 00:00:00 UTC,215.48717948717947
2009-05-10 00:00:00 UTC,215.75294117647059
2009-05-11 00:00:00 UTC,218.85833333333332
2009-05-12 00:00:00 UTC,215.92307692307693
2009-05-13 00:00:00 UTC,225.77477477477478
2009-05-14 00:00:00 UTC,221.0863309352518
2009-05-15 00:00:00 UTC,224.60294117647058
2009-05-16 00:00:00 UTC,215.94957983193277
2009-05-17 00:00:00 UTC,215.96062992125985
2009-05-18 00:00:00 UTC,215.92372881355934
2009-05-19 00:00:00 UTC,215.88372093023256
2009-05-20 00:00:00 UTC,215.73333333333332
2009-05-21 00:00:00 UTC,215.96341463414635
2009-05-22 00:00:00 UTC,215.9672131147541
2009-05-23 00:00:00 UTC,215.9375
2009-05-24 00:00:00 UTC,215.9
2009-05-25 00:00:00 UTC,215.954128440367
2009-05-26 00:00:00 UTC,215.904
2009-05-27 00:00:00 UTC,215.7310924369748
2009-05-28 00:00:00 UTC,215.8842105263158
2009-05-29 00:00:00 UTC,280.83962264150944
2009-05-30 00:00:00 UTC,215.71559633027522
2009-05-31 00:00:00 UTC,216.0
2009-06-01 00:00:00 UTC,219.83098591549296
2009-06-02 00:00:00 UTC,215.9099099099099
2009-06-03 00:00:00 UTC,216.0
2009-06-04 00:00:00 UTC,215.93939393939394
2009-06-05 00:00:00 UTC,215.9
2009-06-06 00:00:00 UTC,215.28571428571428
2009-06-07 00:00:00 UTC,215.9375
2009-06-08 00:00:00 UTC,215.76829268292684
2009-06-09 00:00:00 UTC,215.8021978021978
2009-06-10 00:00:00 UTC,215.9268292682927
2009-06-11 00:00:00 UTC,215.96629213483146
2009-06-12 00:00:00 UTC,215.86046511627907
2009-06-13 00:00:00 UTC,215.44871794871796
2009-06-14 00:00:00 UTC,215.69444444444446
2009-06-15 00:00:00 UTC,215.95238095238096
2009-06-16 00:00:00 UTC,215.73239436619718
2009-06-17 00:00:00 UTC,215.64556962025316
2009-06-18 00:00:00 UTC,215.8125
2009-06-19 00:00:00 UTC,215.67816091954023
2009-06-20 00:00:00 UTC,215.76923076923077
2009-06-21 00:00:00 UTC,215.76543209876544
2009-06-22 00:00:00 UTC,306.38157894736844
2009-06-23 00:00:00 UTC,215.56578947368422
2009-06-24 00:00:00 UTC,221.57894736842104
2009-06-25 00:00:00 UTC,249.75
2009-06-26 00:00:00 UTC,215.6
