Date,market_dominance
2014-02-14,88.94
2014-02-15,88.99
2014-02-16,88.79
2014-02-17,89.23
2014-02-18,89.12
2014-02-19,88.87
2014-02-20,89.06
2014-02-21,89.52
2014-02-22,89.15
2014-02-23,89.05
2014-02-24,88.81
2014-02-25,88.55
2014-02-26,89.07
2014-02-27,89.09
2014-02-28,87.94
2014-03-01,86.95
2014-03-02,87.42
2014-03-03,85.8
2014-03-04,81.16
2014-03-05,85.64
2014-03-06,87.82
2014-03-07,87.47
2014-03-08,87.7
2014-03-09,87.51
2014-03-10,86.75
2014-03-11,86.97
2014-03-12,86.97
2014-03-13,87.18
2014-03-14,87.56
2014-03-15,87.79
2014-03-16,88.25
2014-03-17,88.96
2014-03-18,88.21
2014-03-19,88.05
2014-03-20,88.28
2014-03-21,88.28
2014-03-22,88.02
2014-03-23,88.31
2014-03-24,88.33
2014-03-25,88.56
2014-03-26,89.28
2014-03-27,89.74
2014-03-28,89.56
2014-03-29,78.68
2014-03-30,82.6
2014-03-31,81.3
2014-04-01,81.92
2014-04-02,82.21
2014-04-03,83.16
2014-04-04,80.12
2014-04-05,80.39
2014-04-06,81.74
2014-04-07,81.48
2014-04-08,79.71
2014-04-09,81.34
2014-04-10,81.17
2014-04-11,83.02
2014-04-12,82.68
2014-04-13,82.43
2014-04-14,82.17
2014-04-15,83.26
2014-04-16,85.22
2014-04-17,82.56
2014-04-18,83.38
2014-04-19,84.12
2014-04-20,84.39
2014-04-21,82.34
2014-04-22,82.78
2014-04-23,83.73
2014-04-24,83.08
2014-04-25,83.56
2014-04-26,85.17
2014-04-27,85.56
2014-04-28,83.89
2014-04-29,91.01
2014-04-30,84.87
2014-05-01,84.43
2014-05-02,85.29
2014-05-03,84.78
2014-05-04,85.17
2014-05-05,84.53
2014-05-06,85.31
2014-05-07,86.36
2014-05-08,84.16
2014-05-09,84.92
2014-05-10,84.99
2014-05-11,85.3
2014-05-12,84.69
2014-05-13,84.66
2014-05-14,84.7
2014-05-15,85.17
2014-05-16,83.74
2014-05-17,83.62
2014-05-18,83.71
2014-05-19,83.87
2014-05-20,84.18
2014-05-21,84.67
2014-05-22,85.07
2014-05-23,84.7
2014-05-24,84.31
2014-05-25,84.45
2014-05-26,83.83
2014-05-27,84.76
2014-05-28,84.57
2014-05-29,85.42
2014-05-30,85.6
2014-05-31,84.75
2014-06-01,86.32
2014-06-02,86.57
2014-06-03,85.75
2014-06-04,92.63
2014-06-05,86.56
2014-06-06,87.11
2014-06-07,84.38
2014-06-08,86.75
2014-06-09,85.41
2014-06-10,83.65
2014-06-11,86.04
2014-06-12,85.93
2014-06-13,85.89
2014-06-14,86.3
2014-06-15,86.25
2014-06-16,86.18
2014-06-17,87.13
2014-06-18,87.25
2014-06-19,86.86
2014-06-20,85.97
2014-06-21,86.98
2014-06-22,86.9
2014-06-23,87.99
2014-06-24,88.87
2014-06-25,88.7
2014-06-26,89.51
2014-06-27,90.44
2014-06-28,90.75
2014-06-29,93.09
2014-06-30,91.62
2014-07-01,91.05
2014-07-02,91.92
2014-07-03,91.27
2014-07-04,91.5
2014-07-05,94.1
2014-07-06,91.7
2014-07-07,91.56
2014-07-08,93.9
2014-07-09,93.88
2014-07-10,93.87
2014-07-11,93.97
2014-07-12,93.72
2014-07-13,93.64
2014-07-14,93.65
2014-07-15,93.7
2014-07-16,93.79
2014-07-17,93.64
2014-07-18,93.31
2014-07-19,93.42
2014-07-20,93.43
2014-07-21,93.18
2014-07-22,93.32
2014-07-23,93.32
2014-07-24,93.5
2014-07-25,93.49
2014-07-26,93.59
2014-07-27,93.53
2014-07-28,93.61
2014-07-29,93.55
2014-07-30,93.85
2014-07-31,93.74
2014-08-01,93.72
2014-08-02,93.49
2014-08-03,93.54
2014-08-04,93.7
2014-08-05,93.79
2014-08-06,93.8
2014-08-07,93.85
2014-08-08,93.92
2014-08-09,94.04
2014-08-10,94.16
2014-08-11,94.43
2014-08-12,94.58
2014-08-13,94.71
2014-08-14,94.42
2014-08-15,94.32
2014-08-16,94.66
2014-08-17,94.83
2014-08-18,95.02
2014-08-19,94.43
2014-08-20,94.12
2014-08-21,93.91
2014-08-22,93.95
2014-08-23,94.11
2014-08-24,93.82
2014-08-25,93.37
2014-08-26,92.22
2014-08-27,92.32
2014-08-28,92.46
2014-08-29,92.61
2014-08-30,92.46
2014-08-31,92.45
2014-09-01,92.49
2014-09-02,92.63
2014-09-03,92.36
2014-09-04,92.3
2014-09-05,92.15
2014-09-06,92.11
2014-09-07,92.07
2014-09-08,91.87
2014-09-09,91.87
2014-09-10,91.67
2014-09-11,91.56
2014-09-12,91.56
2014-09-13,91.47
2014-09-14,91.28
2014-09-15,91.45
2014-09-16,91.23
2014-09-17,90.91
2014-09-18,90.59
2014-09-19,90.63
2014-09-20,90.81
2014-09-21,90.86
2014-09-22,90.74
2014-09-23,91.05
2014-09-24,90.87
2014-09-25,90.76
2014-09-26,90.51
2014-09-27,90.47
2014-09-28,90.01
2014-09-29,90.28
2014-09-30,90.36
2014-10-01,90.35
2014-10-02,90.21
2014-10-03,89.98
2014-10-04,89.69
2014-10-05,89.8
2014-10-06,89.68
2014-10-07,89.72
2014-10-08,90.16
2014-10-09,90.19
2014-10-10,90.4
2014-10-11,90.43
2014-10-12,90.58
2014-10-13,90.84
2014-10-14,90.87
2014-10-15,90.91
2014-10-16,90.77
2014-10-17,90.72
2014-10-18,90.77
2014-10-19,90.85
2014-10-20,90.84
2014-10-21,90.73
2014-10-22,90.78
2014-10-23,90.63
2014-10-24,90.6
2014-10-25,90.75
2014-10-26,90.9
2014-10-27,90.54
2014-10-28,90.71
2014-10-29,90.59
2014-10-30,90.8
2014-10-31,90.77
2014-11-01,90.94
2014-11-02,90.82
2014-11-03,90.68
2014-11-04,90.75
2014-11-05,90.73
2014-11-06,90.95
2014-11-07,90.91
2014-11-08,90.76
2014-11-09,90.97
2014-11-10,91.06
2014-11-11,91.14
2014-11-12,91.55
2014-11-13,91.55
2014-11-14,91.32
2014-11-15,91.2
2014-11-16,91.25
2014-11-17,91.23
2014-11-18,91.2
2014-11-19,90.98
2014-11-20,90.57
2014-11-21,90.06
2014-11-22,89.59
2014-11-23,89.04
2014-11-25,89.39
2014-11-26,88.63
2014-11-27,86.61
2014-11-28,86.24
2014-11-29,86.57
2014-11-30,87.98
2014-12-01,87.4
2014-12-02,87.09
2014-12-03,86.74
2014-12-04,86.67
2014-12-05,86.63
2014-12-06,86.26
2014-12-07,86.04
2014-12-08,86.49
2014-12-09,85.6
2014-12-10,85.09
2014-12-11,84.92
2014-12-12,85.01
2014-12-13,84.56
2014-12-14,84.49
2014-12-15,83.95
2014-12-17,78.26
2014-12-18,77.2
2014-12-20,80.09
2014-12-21,80.97
2014-12-22,78.89
2014-12-23,80.12
2014-12-24,80.07
2014-12-25,79.52
2014-12-26,79.29
2014-12-27,79.34
2014-12-28,79.43
2014-12-29,77.69
2014-12-30,77.71
2014-12-31,78.34
2015-01-01,78.55
2015-01-02,78.91
2015-01-03,79.42
2015-01-04,79.88
2015-01-05,79.67
2015-01-06,80.01
2015-01-07,80.47
2015-01-08,80.01
2015-01-09,80.45
2015-01-10,80.7
2015-01-11,80.66
2015-01-12,80.74
2015-01-13,80.15
2015-01-16,78.67
2015-01-17,79.0
2015-01-18,79.67
2015-01-19,79.86
2015-01-20,79.56
2015-01-21,80.05
2015-01-22,80.26
2015-01-23,80.46
2015-01-24,81.03
2015-01-25,81.08
2015-01-26,82.54
2015-01-27,82.25
2015-01-29,81.8
2015-01-30,81.72
2015-01-31,81.22
2015-02-01,81.89
2015-02-02,83.04
2015-02-03,82.92
2015-02-04,82.6
2015-02-05,81.56
2015-02-06,80.99
2015-02-07,74.29
2015-02-08,81.39
2015-02-09,81.66
2015-02-10,81.93
2015-02-11,81.74
2015-02-12,81.72
2015-02-13,82.05
2015-02-14,82.91
2015-02-15,82.66
2015-02-16,82.79
2015-02-17,81.57
2015-02-18,82.8
2015-02-19,83.06
2015-02-20,83.39
2015-02-21,83.3
2015-02-22,83.4
2015-02-23,83.33
2015-02-24,83.29
2015-02-25,83.07
2015-02-26,83.04
2015-02-27,83.79
2015-02-28,84.09
2015-03-01,84.72
2015-03-02,85.18
2015-03-03,86.66
2015-03-04,87.03
2015-03-05,86.14
2015-03-06,86.31
2015-03-07,83.53
2015-03-08,86.7
2015-03-09,86.65
2015-03-10,86.22
2015-03-11,87.59
2015-03-12,87.35
2015-03-13,87.19
2015-03-14,86.63
2015-03-15,87.04
2015-03-16,87.0
2015-03-17,86.58
2015-03-18,86.28
2015-03-19,86.36
2015-03-20,86.4
2015-03-21,86.46
2015-03-22,86.75
2015-03-23,86.59
2015-03-24,86.25
2015-03-25,86.81
2015-03-26,87.08
2015-03-27,86.9
2015-03-28,87.1
2015-03-29,86.89
2015-03-30,87.09
2015-03-31,87.0
2015-04-01,87.93
2015-04-02,87.89
2015-04-03,87.28
2015-04-04,87.23
2015-04-05,87.75
2015-04-06,87.58
2015-04-07,87.26
2015-04-08,86.89
2015-04-09,87.21
2015-04-10,87.32
2015-04-11,87.56
2015-04-12,87.35
2015-04-13,87.28
2015-04-14,87.2
2015-04-15,87.54
2015-04-16,87.63
2015-04-17,87.4
2015-04-18,87.48
2015-04-19,87.61
2015-04-20,87.6
2015-04-21,87.88
2015-04-22,87.73
2015-04-23,87.76
2015-04-24,87.63
2015-04-25,87.53
2015-04-26,87.63
2015-04-27,87.92
2015-04-28,88.03
2015-04-29,87.83
2015-04-30,88.05
2015-05-01,87.94
2015-05-02,88.04
2015-05-03,88.23
2015-05-04,88.19
2015-05-05,88.27
2015-05-06,88.09
2015-05-07,88.49
2015-05-08,88.65
2015-05-09,88.63
2015-05-10,86.95
2015-05-11,88.84
2015-05-12,88.77
2015-05-13,88.79
2015-05-14,88.97
2015-05-15,88.9
2015-05-16,88.85
2015-05-17,89.16
2015-05-18,89.45
2015-05-19,88.63
2015-05-20,88.56
2015-05-21,88.58
2015-05-22,88.26
2015-05-23,88.02
2015-05-24,88.03
2015-05-25,87.89
2015-05-26,87.93
2015-05-27,87.7
2015-05-28,86.9
2015-05-29,86.06
2015-05-30,86.52
2015-05-31,86.69
2015-06-01,87.0
2015-06-02,86.74
2015-06-03,86.7
2015-06-04,86.74
2015-06-05,86.45
2015-06-06,86.57
2015-06-07,86.63
2015-06-08,86.59
2015-06-09,86.62
2015-06-10,86.59
2015-06-11,86.61
2015-06-12,86.69
2015-06-13,86.59
2015-06-14,86.41
2015-06-15,86.2
2015-06-16,85.38
2015-06-17,85.04
2015-06-18,84.33
2015-06-19,83.71
2015-06-20,83.84
2015-06-21,84.15
2015-06-22,84.13
2015-06-23,84.01
2015-06-24,83.91
2015-06-25,83.91
2015-06-26,83.75
2015-06-27,83.63
2015-06-28,83.71
2015-06-29,83.12
2015-06-30,83.4
2015-07-01,83.52
2015-07-02,83.35
2015-07-03,83.23
2015-07-04,83.71
2015-07-05,84.12
2015-07-06,83.64
2015-07-07,83.77
2015-07-08,83.3
2015-07-09,82.27
2015-07-10,85.5
2015-07-11,86.09
2015-07-12,85.92
2015-07-13,85.7
2015-07-14,85.62
2015-07-15,86.01
2015-07-16,86.49
2015-07-17,86.27
2015-07-18,85.99
2015-07-19,86.29
2015-07-20,86.43
2015-07-21,86.56
2015-07-22,86.63
2015-07-23,86.5
2015-07-24,86.26
2015-07-25,86.13
2015-07-26,86.11
2015-07-27,85.9
2015-07-28,85.68
2015-07-29,85.71
2015-07-30,85.78
2015-07-31,80.83
2015-08-01,86.09
2015-08-02,86.21
