Time,anxbtc,bitbay,bitcoin24,bitcurex,bitfloor,btce,campbx,coinsetter,gatecoin,justcoin,lakebtc,mtgox,okcoin,others,therocktrading
2015-01-04 00:00:00 UTC,1.71712129240923,2.4723228994768,,,,1.69202634630958,3.53564038594016,0.748512025121281,2.09557470239974,,1.16323561642741,,1.29612290908812,1.704509105418596,3.69888997480978
2015-01-05 00:00:00 UTC,1.2823220650221,3.31576097054704,,,,1.21886104600878,3.4802258528811,1.2918674355559,0.26870057689586,,0.853664020169747,,0.989893319941591,1.5708797565896377,3.0651491401147
2015-01-06 00:00:00 UTC,1.16024062806713,0.420743923252934,,,,0.760341676272673,1.17687085102243,0.983360825950878,,,0.523693417777183,,0.674590195515917,1.9556345204194265,1.35113730998456
2015-01-07 00:00:00 UTC,1.89526449173741,2.30778550286805,,,,1.06751547830579,1.2572050422429,1.82346777261967,,,0.579415204056665,,0.582370723813782,0.905212221607969,0.599552523007116
2015-01-08 00:00:00 UTC,1.1084787009057,1.99604961156931,,,,0.821540950698759,7.26964168434955,0.97866078607158,,,0.472223431369746,,0.636918836306494,3.805118826998926,0.7416820703545
2015-01-09 00:00:00 UTC,0.806565320954921,2.40685406783177,,,,0.932148917871041,2.03633813705746,1.5757342057046,,,0.560238722758571,,0.592952819020673,1.4725907257335862,1.10128995701867
2015-01-10 00:00:00 UTC,0.675613249977233,,,,,0.885860006258748,3.06097492504646,1.4122849123072,,,0.530677027431683,,0.516949332657932,0.989251860271906,2.86018135553692
2015-01-11 00:00:00 UTC,0.794249233886682,46.6033842991489,,,,0.764847854574104,1.02408594064965,1.80158455598463,,,0.572080473307722,,0.493766354953642,0.8136079657560344,2.08445948023782
2015-01-12 00:00:00 UTC,0.665887107427706,2.12716668821957,,,,0.90424244870454,1.78212877364393,0.681604652875631,,,0.553155009174407,,0.550231338826429,1.4352625785069175,1.02688292214741
2015-01-13 00:00:00 UTC,1.56965019486015,2.95011977536861,,,,2.12803935996385,2.40213812984625,2.43575648840242,,,1.55168977249863,,1.54000265061583,1.9166031259277176,5.85212351084809
2015-01-14 00:00:00 UTC,3.08797933325648,0.774389224171619,,,,2.35182484728693,4.74422994558239,2.50412340770532,6.71313812072053,,2.21255875358095,,2.17595716806924,5.240486924081508,4.33661235579748
2015-01-15 00:00:00 UTC,2.81035195994067,2.9386210373308,,,,2.51688614693043,4.27594753175884,2.0362087529482,2.55396296075201,,1.84308901338855,,1.8897831342729,2.692929790133307,9.19939313025443
2015-01-16 00:00:00 UTC,1.94580632414843,2.36037448056243,,,,1.53888144174415,1.96824372909628,1.33925211958924,1.08187337522449,,1.24269011172834,,1.20982478543328,2.268267789703983,1.02058243144737
2015-01-17 00:00:00 UTC,1.09141256526958,1.53474466555352,,,,0.879271515302284,0.513572243953974,1.07578087743503,1.38116368428577,,0.892582290695135,,0.944108146476227,2.300811204951031,4.09706222679818
2015-01-18 00:00:00 UTC,1.14503050991423,6.68829247826317,,,,1.20599027333759,2.03405571828629,1.02286408450992,0.120208152872216,,1.0847238869004,,1.12727763313712,1.411427463764571,4.62718558112817
2015-01-19 00:00:00 UTC,0.866938853447075,2.39338950811052,,,,0.793822397149403,1.25233399928184,1.18448851433142,,,0.664179519009789,,0.738023889384833,0.6148062960062458,1.86064012988364
2015-01-20 00:00:00 UTC,0.922130628723605,2.46177599865267,,,,0.576320581600021,0.209711468993101,0.887069138149049,0.862670273039734,,0.624157842604805,,0.663704397212856,0.683401705579052,1.11609413811741
2015-01-21 00:00:00 UTC,1.13862854272943,2.08006615033742,,,,0.697781109276201,1.06368834028477,1.01512552431418,0.183847763121293,,0.609142554618745,,0.644256078392176,0.9524636156267039,1.7842577643494
2015-01-22 00:00:00 UTC,1.3450933714415,2.38801665582168,,,,0.988006061335455,3.04815825032512,1.09525646729234,0.786656294097862,,0.77305412309733,,0.851124922083263,2.097726663541714,1.73787526117402
2015-01-23 00:00:00 UTC,1.06647293268602,3.08995949215319,,,,0.719679778409507,2.8858752399317,0.758766855313772,2.12485587746492,,0.531672873233786,,0.665796148146773,0.8981314369373469,2.96504147361283
2015-01-24 00:00:00 UTC,1.82533751355329,,,,,0.855281733899147,2.05958466126504,0.764362290536794,0.961665222410279,,0.561708391855,,0.690796849738993,1.0461029422940737,1.9156008764312
2015-01-25 00:00:00 UTC,0.91038065744853,3.78700051712024,,,,1.12033028528161,5.10119334405115,1.01944845385028,6.69630121783685,,0.741459447133151,,0.839508192054887,1.2009657246222696,2.21915015903607
2015-01-26 00:00:00 UTC,3.26582491551481,6.43587601268713,,,,2.89273746233859,6.25892872976705,2.76161861118147,3.39882659490145,,2.464434589889,,2.72638981564945,2.9240543602593942,10.50445645306
